NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-274 c,0.0135483,0.164154,33.197861,
GJ 832 b,0.644279,,3416,0.12
Kepler-26 e,0.0186399,0.215006,46.827915,
GJ 667 C b,0.0174951,,7.1999,0.15
Kepler-254 d,0.0196646,0.223035,18.746477,
CoRoT-19 b,1.10792,1.29,3.89713,0.047
Kepler-264 b,0.0333072,0.297083,40.806231,
Kepler-122 c,0.115399,0.523686,12.465988,
Kepler-142 b,0.014692,0.177536,2.024152,
alpha Ari b,1.71662,,380,0.25
Kepler-240 c,0.0165098,0.196271,7.953528,
61 Vir b,0.016075,,4.215,0.12
Kepler-298 b,0.014454,0.174859,10.475464,
HD 210702 b,1.86459,,354.29,0.036
Kepler-363 d,0.0151834,0.182889,11.932125,
HAT-P-4 b,0.671507,1.274,3.056536,0
HAT-P-21 b,4.07833,1.024,4.124481,0.228
Kepler-215 d,0.0184218,0.213222,30.864423,
Kepler-232 c,0.0463015,0.34169,11.379349,
Kepler-346 b,0.0216742,0.237309,6.511127,
Kepler-330 c,0.0143757,0.173967,15.955387,
alpha Cen B b,0.00354639,,3.2357,0
mu Ara b,1.74552,,643.25,0.128
WASP-45 b,1.00657,1.16,3.1260876,0
HD 73526 c,2.4209,,377.8,0.14
Kepler-382 c,0.011856,0.14185,12.162701,
Kepler-333 c,0.00422638,0.0990276,24.08821,
Kepler-17 b,2.47943,1.33,1.4857108,0
14 Her b,5.21486,,1773.4,0.369
HAT-P-33 b,0.763256,1.686,3.474474,0
Kepler-166 c,0.0183139,0.212329,34.260281,
OGLE-05-169L b,0.04,,3300,
HIP 79431 b,2.11299,,111.7,0.29
HD 171238 b,2.60901,,1523,0.4
Kepler-272 c,0.0131908,0.159693,6.057342,
Kepler-157 c,0.0168894,0.199839,13.5405,
HIP 5158 b,1.42633,,345.72,0.52
Kepler-308 c,0.0161415,0.192702,15.38231,
WASP-46 b,2.10232,1.31,1.43037,0
Kepler-157 b,0.00769114,0.117763,1.732342,
GJ 849 b,0.830886,,1882,0.04
Kepler-52 d,0.0143757,0.173967,36.445171,
Kepler-197 c,0.00604207,0.109733,10.349695,
Kepler-163 b,0.00347154,0.0936747,7.810937,
Kepler-121 c,0.0171819,0.202516,41.008011,
Kepler-191 b,0.00809262,0.119547,9.939632,
Kepler-123 b,0.0258466,0.262289,17.232366,
Kepler-320 b,0.00464108,0.101704,8.371554,
HAT-P-1 b,0.532369,1.242,4.4652934,0
Kepler-186 f,0.00421308,0.098939,129.9459,0.01
Kepler-201 b,0.0192003,0.219467,25.672083,
OGLE2-TR-L9 b,4.57442,1.61,2.4855335,0
Kepler-54 b,0.015593,0.187182,8.0109434,
Kepler-355 c,0.0223552,0.24177,25.762294,
Kepler-375 c,0.0215411,0.236417,19.986326,
Kepler-137 b,0.0110268,0.131145,8.436387,
Kepler-85 d,0.00554835,0.107057,17.91323,
Kepler-224 c,0.0290307,0.278348,5.925003,
WASP-22 b,0.559059,1.12,3.53269,0.023
WASP-2 b,0.908659,1.077,2.1522254,0
Kepler-392 b,0.00291583,0.089214,5.341853,
Kepler-247 c,0.0548224,0.364885,9.439452,
HD 164922 b,0.357927,,1155,0.05
Kepler-271 b,0.00192504,0.0794005,5.217738,
Kepler-30 c,2.01385,1.09635,60.3231,0.0111
Kepler-190 c,0.0107805,0.130252,3.763024,
tau Gru b,1.2147,,1311,0.07
WASP-34 b,0.583354,1.22,4.3176782,0.038
Kepler-397 c,0.100676,0.551343,135.498527,
HD 96063 b,1.14167,,361.1,0
HAT-P-22 b,2.15137,1.08,3.21222,0.016
Kepler-221 b,0.0126401,0.152556,2.795906,
CoRoT-7 b,0.014,0.143989,0.85359163,0
HD 5608 b,1.47372,,792.6,0.19
Kepler-172 e,0.0230631,0.246231,35.118736,
Kepler-178 b,0.025195,0.258721,9.576694,
Kepler-147 c,0.0188614,0.21679,33.416423,
HATS-1 b,1.86507,1.302,3.446459,0.12
Kepler-378 c,0.00082692,0.0624498,28.906009,
HD 80606 b,3.89054,1.029,111.4367,0.934
Kepler-158 b,0.0157841,0.189134,16.709184,
Kepler-45 b,0.511499,0.96,2.455239,0.11
Kepler-68 b,0.026183,0.205901,5.398763,0
Kepler-308 b,0.0157841,0.189134,9.694928,
WASP-78 b,0.883997,1.7,2.17517656,0
